Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
Arduino Nano,Arduino Nano as the MCU,2,7.6,https://www.amazon.in/gp/product/B077TJ8FCF/,Amazon
NRF24L01 Transceiver Module,Tranceiver module,1,2.5,https://www.amazon.in/gp/product/B073Q2W112/,Amazon
NRF24L01 Transmitter Module,Transmitter module,1,2.8,https://www.amazon.in/gp/product/B0H425R413/,Amazon
Switches for Transmitter,Switches for controlling the car,4,0,SELF SOURCED,SELF SOURCED
Keycaps for the swiches,Keycaps of the switches,4,0,SELF SOURCED,SELF SOURCED
100nF Capacitor,100nF Capacitor,1,1.3,https://www.amazon.in/gp/product/B0FCFYSP35/,Amazon
10uF Capacitor,10uF Capacitor,1,1.6,https://www.amazon.in/gp/product/B0GKVJ5FXC/,Amazon
PCB of Transmitter AND Receiver,Main PCBs,5 + 5,16.84,https://jlcpcb.com/,JLPCB
L298N Motor Driver,Motor which controls the wheels,1,2.1,https://www.amazon.in/gp/product/B00N4KWYDE/,Amazon
DC Motors + Wheels,DC Motors + Wheels for the car,1,4.2,https://www.amazon.in/gp/product/B07Q22QS3R/,Amazon
Case,Shipping - Case for the transmitter,1,5,,Printing Legion
,,,,,
,,,43.94,,